lgmID,Core,Longitude,Latitude,T_degC,T_anomaly_degC,turnover,n,uncertainty2sd
LGM_0076,V23-100,-22.68,21.3,21.55,-0.19,0.73,1,1.58
LGM_0077,GIK16017-2,-17.8033,21.245,17.39,-0.45,0.15,7,0.64
LGM_0078,GIK12328-5,-18.5733,21.145,15.95,-2.67,0.25,4,0.83
LGM_0079,GIK12329-6,-19.93,19.3667,17.97,-1.55,0.25,1,1.63
LGM_0080,BOFS31/1K,-20.1621,18.9979,16.1,-3.51,0.36,8,0.59
LGM_0081,V30-49,-21.08,18.433,18.03,-2.22,0.48,4,0.82
LGM_0082,GIK13291-1,-18.075,18.1175,17.48,-0.34,0.39,6,0.68
LGM_0083,GIK13289-3,-18.0092,18.0732,17.22,-0.57,0.38,3,0.96
LGM_0084,V16-20,-50.35,17.933,25.97,-0,0.13,4,0.83
LGM_0085,M35027-1,-67.1667,17.6483,24.25,-3.18,0.32,6,0.67
LGM_0086,V26-124,-74.45,16.133,25.1,-2.32,0.3,3,0.91
LGM_0087,GIK12337-5,-18.1333,15.9533,17.62,-0.58,0.46,1,1.7
LGM_0088,GIK12347-2,-17.8617,15.825,17.91,-0.26,0.37,3,0.99
LGM_0089,GIK12345-5,-17.36,15.48,17.62,-0.51,0.34,7,0.63
LGM_0090,V16-205,-43.4,15.4,25.31,-0.29,0.21,1,1.67
LGM_0091,RC13-153,-75.95,15.065,26.16,-1.11,0.27,2,1.12
LGM_0092,V18-357,-80.23,15.033,26.62,-0.77,0.3,7,0.61
LGM_0093,V22-197,-18.58,14.167,17.84,-0.25,0.48,5,0.75
LGM_0094,M35003-4,-61.2433,12.09,24.74,-1.49,0.27,6,0.67
LGM_0095,V28-127,-80.13,11.65,26.68,0.5,0.1,1,1.62
LGM_0096,GIK16415-2,-19.095,9.5667,19.64,0.34,0.53,1,1.62
LGM_0097,GIK13519-1,-19.8517,5.67,22.69,-0.82,0.14,3,0.98
LGM_0098,GIK16457-2,-21.7517,5.385,21.53,-2.96,0.3,1,1.66
LGM_0099,GIK16458-1,-22.0533,5.335,22.93,-1.7,0.2,3,0.97
LGM_0100,GIK16458-2,-22.055,5.335,25.25,0.62,0.1,2,1.19
LGM_0101,GIK16776-1,-11.3983,3.735,20.83,-1.95,0.53,2,1.12
LGM_0102,GIK13521-1,-22.0317,3.02,20.08,-5.64,0.63,3,0.96
LGM_0103,V25-59,-33.48,1.367,24,-2.74,0.41,6,0.65
LGM_0108,GeoB1101-5,-10.98,1.6583,20.44,-2.62,0.49,2,1.17
LGM_0118,GeoB1701-4,3.5517,1.95,20.08,-0.91,0.47,5,0.73
LGM_0129,GeoB1503-1,-30.6467,2.3117,21.32,-5.37,0.42,2,1.13
LGM_0130,GeoB1505-1,-33.01,2.27,22.24,-4.57,0.38,2,1.13
LGM_0131,GeoB1508-4,-34.025,5.3333,25.66,-1.03,0.16,1,1.64
LGM_0132,GeoB1515-1,-43.6667,4.2383,25.97,-1.04,0.21,3,0.9
LGM_0133,GeoB1523-1,-41.6217,3.8317,25.87,-1.2,0.24,2,1.18
LGM_0140,GeoB2215-10,-23.495,0.0067,20.21,-5.18,0.59,2,1.11
LGM_0382,A156  4,-74.683,34.817,22.62,0.07,0.59,1,1.64
LGM_0383,A164  5,-71.235,37.767,14.36,-2.67,0.42,1,1.63
LGM_0384,A164  6,-69.851,38.133,12.48,-5.12,0.4,1,1.64
LGM_0385,A164 24,-69,36.483,18.85,-2.21,0.43,1,1.63
LGM_0386,A164 61,-68.783,39.535,13.39,-0.84,0.5,1,1.62
LGM_0387,A167 13,-75.35,31.65,20.4,-2.82,0.4,1,1.61
LGM_0388,A167 14,-76.467,31.467,21.61,-2.06,0.43,1,1.63
LGM_0389,A172  1,-73.467,17.233,26.68,-0.81,0.28,1,1.56
LGM_0390,A172  2,-72.317,16.2,26.19,-1.19,0.28,1,1.66
LGM_0391,A173  4,-62.533,33.867,18.21,-3.17,0.58,1,1.66
LGM_0392,A179-15,-75.933,24.8,24.76,-0.89,0.12,2,1.17
LGM_0393,A180  9,-45.95,39.45,11.23,-7.45,0.41,1,1.67
LGM_0394,A180 15,-36.7,39.267,16.01,-1.64,0.5,1,1.66
LGM_0395,A180 16,-32.483,38.35,13.3,-4.23,0.46,1,1.62
LGM_0396,A180 32,-26.25,29.117,21.18,0.19,0.28,1,1.63
LGM_0397,A180 39,-19.3,25.833,16.54,-4.24,0.54,1,1.55
LGM_0398,A180 47,-17.918,15.318,17.73,-0.39,0.51,1,1.67
LGM_0399,A180 48,-18.1,15.317,19.25,1.13,0.41,1,1.67
LGM_0400,A180 56,-17.767,12.235,18.07,-0.36,0.57,1,1.62
LGM_0401,A180 72,-21.783,0.585,18.31,-6.91,0.78,1,1.64
LGM_0402,A180 73,-23,0.167,20.61,-4.73,0.59,2,1.09
LGM_0403,K708  4,-25.018,49.984,1.47,-10.74,0.94,1,1.62
LGM_0404,K708  6,-29.567,51.552,1.34,-9.34,0.93,1,1.63
LGM_0405,K708  7,-24.083,53.933,3.04,-7.58,0.9,1,1.68
LGM_0406,K708  8,-22.55,52.736,4.18,-7.1,0.87,1,1.63
LGM_0407,K714  3,-27.519,57.486,1.19,-7.66,0.9,1,1.59
LGM_0408,V  4  8,-33.134,37.218,14.39,-3.66,0.36,1,1.63
